,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,312015,,,,"11TH AVE NE, N/O NE 55TH ST",,,,1413,,00230/0550,,,N,STANDARD,23-Sep-2013,294,,795,"5,407",,"5,048",,,5,7
,210600,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,19-Oct-2006,571,,"1,372","10,705",,"9,803",,,5,7
,212825,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,26-Sep-2007,567,,"1,338","10,476",,"9,926",,,5,7
,215467,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,19-Nov-2008,534,,"1,285","10,005",,"9,204",,,5,7
,217365,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,19-Aug-2009,568,,"1,079","9,414",,"8,827",,,5,7
,301173,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,06-Dec-2010,520,,"1,262","9,593",,"9,344",,,5,7
,304157,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,25-Oct-2011,529,,"1,223","9,680",,"8,977",,,5,7
,309448,,,,"11TH AVE NE, S/O NE 45TH ST",,,,1408,,00230/0430,,,N,STANDARD,22-Oct-2012,591,,"1,575","11,163",,"10,044",,,5,7
,210593,,,,"11TH AVE NE, S/O NE 50TH ST",,,,1410,,00230/0470,,,N,STANDARD,19-Oct-2006,370,,"1,067","7,227",,"6,717",,,5,7
,300000,,,,"11TH AVE NW, N/O NW 46TH ST, S FLOW",,,,1428,,00235/0460,,,S,STANDARD,17-May-2010,284,,333,"3,577",,"3,629",,,5,7
,205978,,,,"11TH AVE NW, N/O NW 52ND ST",,,,1434,,00235/0520,,,S,STANDARD,24-Jan-2005,17,,24,186,,184,,,5,7
,300271,,,,"11TH AVE NW, N/O NW LEARY WAY",,,,1430,,00235/0480,,,S,STANDARD,29-Jun-2010,61,,71,714,,598,,,4,6
,300001,,,,"11TH AVE NW, S/O NW 46TH ST, N FLOW",,,,1427,,00235/0450,,,N,STANDARD,17-May-2010,261,,326,"3,426",,"3,508",,,5,7
,205977,,,,"11TH AVE NW, S/O NW 52ND ST",,,,1433,,00235/0510,,,N,STANDARD,24-Jan-2005,53,,72,604,,487,,,5,7
,300272,,,,"11TH AVE NW, S/O NW LEARY WAY",,,,1429,,00235/0470,,,N,STANDARD,29-Jun-2010,278,,364,"4,008",,"3,829",,,4,6
,302484,,,,"11TH AVE SW, N/O SW SPOKANE NR ST",,,,493223,,00245/0340,,,S,STANDARD,07-Apr-2011,55,,103,562,,429,,,5,7
,307566,,,,"11TH AVE SW, N/O SW SPOKANE NR ST",,,,493223,,00245/0340,,,S,STANDARD,04-Apr-2012,33,,59,322,,240,,,5,7
,214891,,,,"11TH AVE, N/O E PINE ST",,,,1383,,00220/0160,,,S,STANDARD,27-Aug-2008,68,,119,"1,371",,"1,332",,,4,6
,214890,,,,"11TH AVE, S/O E PINE ST",,,,1382,,00220/0150,,,N,STANDARD,27-Aug-2008,57,,113,"1,280",,0,,,4,4
,206607,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,06-Apr-2005,830,,633,"5,854",,"4,344",,,5,7
,209271,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,05-Apr-2006,625,,516,"4,599",,"3,300",,,5,7
,211683,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,04-Apr-2007,859,,654,"5,761",,"4,127",,,5,7
,213973,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,16-Apr-2008,714,,573,"4,901",,"3,512",,,5,7
,214111,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,16-Apr-2008,709,,573,"4,895",,"3,507",,,5,7
,216280,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,08-Apr-2009,560,,404,"5,359",,"4,412",,,5,7
,218604,,,,"11TH ER AVE SW, NW/O SW SPOKANE ST",,,,1514,,00267/0340,,,NW,STANDARD,07-Apr-2010,559,,457,"4,025",,"2,947",,,5,7
