Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
FED 30-3098,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,35
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,87
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,348
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,127
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3110,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,40
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,65
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,385
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,89
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3234,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,24
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,71
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,405
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,90
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3235,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,19
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,120
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,678
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,155
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3236,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,35
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,144
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,724
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,194
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3237,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,50
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,75
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,368
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,96
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3238,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,21
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,176
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,822
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,213
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3289,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,37
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,39
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,378
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,71
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3305,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,32
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,94
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,449
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,132
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3372,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,38
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,80
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,278
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,102
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3395,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,22
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,48
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,327
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,58
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3574,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,10
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,60
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,266
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,69
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3582,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,9
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,78
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,338
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,104
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3596,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,26
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,No,83
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Registered Voters,412
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Blank Voted,0
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Counted,110
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Times Over Voted,0
FED 30-3599,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,9,Total,NP,Yes,27
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,No,167
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Registered Voters,573
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Blank Voted,0
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Counted,221
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Over Voted,0
FOREST,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Yes,54
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,No,244
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Registered Voters,725
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Blank Voted,1
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Counted,296
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Over Voted,0
FOUR LAKES,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Yes,51
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,No,118
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Registered Voters,427
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Blank Voted,2
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Counted,172
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Times Over Voted,0
FOX,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,45,3,1,Total,NP,Yes,52
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Approved,70
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Registered Voters,427
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Rejected,102
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Blank Voted,0
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Counted,172
FOX,"Lake Washington School District No. 414 Proposition No. 1 General Obligation Bonds - $404,000,000",45,3,1,Total,NP,Times Over Voted,0
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,No,1
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Registered Voters,2
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Blank Voted,0
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Counted,1
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Over Voted,0
FRAGER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Yes,0
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,No,33
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Registered Voters,161
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Blank Voted,0
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Counted,43
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Times Over Voted,0
FRANKLIN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,5,9,Total,NP,Yes,10
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,No,223
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Registered Voters,727
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Blank Voted,0
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Counted,274
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Over Voted,0
FREEDOM,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Yes,51
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,115
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,412
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,144
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
GENEVA,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,29
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,No,122
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,Registered Voters,601
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,Times Blank Voted,1
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,Times Counted,176
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,Times Over Voted,0
GLASGOW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,34,8,7,Total,NP,Yes,53
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,No,146
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,Registered Voters,778
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,Times Blank Voted,1
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,Times Counted,220
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,Times Over Voted,0
GLENDALE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,33,8,9,Total,NP,Yes,73
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,No,81
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Registered Voters,258
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Blank Voted,0
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Counted,98
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Times Over Voted,0
GLENN,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,7,8,Total,NP,Yes,17
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,No,62
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Registered Voters,282
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Blank Voted,0
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Counted,103
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Times Over Voted,0
GOLDFINCH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Yes,41
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,No,28
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,Registered Voters,104
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,Times Blank Voted,0
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,Times Counted,45
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,Times Over Voted,0
GRAFF,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,41,3,9,Total,NP,Yes,17
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,No,4
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,Registered Voters,12
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,Times Blank Voted,0
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,Times Counted,4
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,Times Over Voted,0
GRANDVIEW,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,5,9,Total,NP,Yes,0
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,No,124
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Registered Voters,382
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Blank Voted,0
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Counted,163
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Times Over Voted,0
GRASS LAKE,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,47,9,8,Total,NP,Yes,39
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,No,248
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Registered Voters,585
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Blank Voted,0
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Counted,266
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Times Over Voted,0
GREEN RIVER,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,9,8,Total,NP,Yes,18
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,No,149
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Registered Voters,368
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Blank Voted,0
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Counted,185
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Times Over Voted,0
GREEN VALLEY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,31,7,8,Total,NP,Yes,36
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,No,138
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Registered Voters,591
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Blank Voted,0
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Counted,201
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Times Over Voted,0
GRIFFITH,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,11,9,8,Total,NP,Yes,63
GRIZZLY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,No,194
GRIZZLY,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,5,3,8,Total,NP,Registered Voters,660
