Precinct,Race,LEG,CC,CG,CounterGroup,Party,CounterType,SumOfCount
ALG 30-0013,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
ALG 30-0013,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,100
ALG 30-0013,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0013,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,17
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,111
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,482
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,0
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Counted,140
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Over Voted,0
ALG 30-0014,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Yes,29
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,No,126
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Registered Voters,524
ALG 30-3141,King County Transportation District Proposition No. 1 Sales and Use Tax and Vehicle Fee for Transportation Improvements,30,7,8,Total,NP,Times Blank Voted,1
